A	AUGUSTINIAN CANONS
B	BENEDICTINES: THE SHORTER CATALOGUES
BA	BENEDICTINES: Canterbury-St Augustine's
BC	BENEDICTINES: Canterbury-Christ Church 	
BD	BENEDICTINES: Durham
BM	BENEDICTINES: Dover-St Martin's
BP	BENEDICTINES: Peterborough
SS	BRIGITTINES				
C	CARTHUSIANS
FA	FRIARS
G	GILBERTINES
H	LIBRARIES OF KING HENRY VIII
K	HENRY DE KIRKESTEDE
P	PREMONSTRATENSIANS
R	REGISTRUM ANGLIE
S	SCOTLAND
SC	SECULAR INSTITUTIONS
SH	Hospitals, Towns, and the Professions
UC	UNIVERSITY AND COLLEGE LIBRARIES OF CAMBRIDGE	
UO?	UNIVERSITY AND COLLEGE LIBRARIES OF OXFORD	
Z	CISTERCIANS
Q	UNIDENTIFIED LIBRARIES
X	ADDITIONAL DOCUMENTS
F	NEW FRIARS
