AUGUSTINIAN CANONS

Anglesey	 		A1	List of books, 1314
Barnwell			A2 	Leland, c. 1536-40
Bourne			A3 	Leland, c. 1536-40
Bridlington 		A4 	List of books, early 13th cent.
Bridlington			A5 	Leland, c. 1536-40
Bristol 			A6 	Leland, c. 1536-40
Canterbury-St Gregory 	A7 	Leland, c. 1536-40
Christchurch 		A8 	Leland, c. 1536-40
Cirencester 		A9 	Leland, c. 1536-40
Elsham 			A10	Lincolnshire list, 1528
Guisborough			A11 	Leland, c. 1536-40
Hartland 			A12 	Leland, c. 1536-40
Keynsham 			A13 	Leland, c. 1536-40
Kirkham 			A14 	Leland, c. 1536-40
Kyme 				A15 	Lincolnshire list, 1528
Lanthony 			A16 	Catalogue, late 14th cent.
Lanthony			A17 	Leche bequest,
Lanthony			A18 	Leland, c. 1536-40
Launde 			A19 	Leland, c. 1536-40
Leicester 			A20 	Catalogue, 15th cent.
Leicester			A21 	Leland, c. 1536-40
Markby 			A22 	Lincolnshire list, 1528
Newburgh 			A23 	Leland, c. 1536-40
Newnham 			A24 	Leland, c. 1536-40
Nocton Park 		A25 	Lincolnshire list, 1528
Osney 			A26 	Leland, c. 1536-40
Plympton  			A27 	Books bequeathed by Robert, archdeacon of Totnes, late 12th cent.
Plympton			A28 	Leland, c. 1536-40
Selborne 			A29 	List of books, 1490
Southampton 		A30 	Leland, c. 1536-40
Southwick 			A31 	Leland, c. 1536-40
Taunton 			A32 	Leland, c. 1536-40
Thornholm 			A33 	Lincolnshire list, 1528
Thornton 			A34 	Lincolnshire list, 1528
Thornton 			A35 	Leland, c. 1536-40
Thurgarten 			A36 	Inventory, 15th cent.
Walsingham 			A37 	Leland, c. 1536-40
Waltham			A38 	Catalogue, early 13th cent.
Waltham			A39 	Leland, c. 1536-40
Wellow			A40 	Lincolnshire list, 1528
Worksop 			A41 	List of books, 1187


BENEDICTINES: THE SHORTER CATALOGUES

Abbotsbury 			B1 	Leland, c. 1536-40
Abingdon 			B2 	Books commissioned by Faricius (1100-1117)
Abingdon 			B3 	Leland, c. 1536-40
Abingdon 			B4 	Anonymus Reginensis, early 16th cent.
Bardney 			B5 	Lincolnshire list, 1528
Bardney			B6 	Leland, c. 1536-40
Barking 			B7 	Books in the possession of former steward, 1553
Bath 				B8 	Leland, c. 1536-40
Battle 			B9 	Leland, c. 1536-40
Bermondsey 			B10 	Catalogue, 1310 x 1328
Burton 			B11 	Catalogue, c. 1175
Bury 				B12 	Books held by monks, late 11th cent.
Bury				B13 	Catalogue, late 12th cent., and additions
Bury				B14 	Books read in refectory, 13th cent.
Bury				B15 	From list of Benefactors, 15th cent.
Bury				B16 	Leland, c. 1536-40
Carisbrooke			B17 	Status, 1260
Castle Acre 		B18	From will of Thomas Lexham, 1382
Castle Acre 		B19 	Leland, c. 1536-40
Chertsey 			B20 	Anonymus Reginensis, early 16th cent.
Chester 			B21 	From will of Richard of Chester, 1347
Colchester 			B22 	Leland, c. 1536-40
Coventry 			B23 	Books written by John de Bruges, c. 1240
Crowland 			B24 	Select list, early 14th cent.
Crowland			B25 	Leland, c. 1536-40
Crowland-Frieston 	B26 	Lincolnshire list, 1528
Ely 				B27 	Receipt for return of books, 1329
Ely				B28 	Leland, c. 1536-40
Evesham 			B29 	Books acquired by Abbot Thomas Marlborough, early 13th cent.
Evesham			B30 	Books bequeathed by Prior Nicholas (d. 1392) and others
Evesham			B31 	Leland, c. 1536-40
Eye 				B32 	Leland, c. 1536-40
Eynsham 			B33 	Record of books on loan, 1363 x 1366
Eynsham			B34 	Leland, c. 1536-40
Faversham 			B35 	Leland, c. 1536-40
Glastonbury 		B36 	Books given by A+Ethelnoth (1020-1038)
Glastonbury			B37 	Books copied for Abbot Henry of Blois (1126-71)
Glastonbury			B38 	Books copied for Prior Thomas (d. 1215)
Glastonbury			B39 	Catalogue, 1247, with additions
Glastonbury			B40 	Books bequeathed by Abbot John of Taunton (1274-91)
Glastonbury			B41 	Books given by Abbot Walter of Taunton (1322-3)
Glastonbury			B42 	Books given by Abbot Adam of Sudbury (1323-34)
Glastonbury			B43 	Books acquired by Abbot Walter of Monington (1342-75)
Glastonbury			B44 	Leland, c. 1536-40
Glastonbury			B45 	Bale, c. 1550
Gloucester 			B46 	Books given by Richard of Stow, 13th cent.
Gloucester			B47 	Books owned by Robert of Aldsworth, 13th cent.
Gloucester			B48 	Books acquired by Abbot John de Gamages (1284-1306)
Gloucester			B49 	Leland, c. 1536-40
Holme St Benet's 		B50 	Leland, c. 1536-40
Hyde 				B51 	Leland, c. 1536-40
Hyde				B52 	Anonymus Reginensis, early 16th cent.
Lewes-Monkton Farleigh 	null	Note on books listed in tabula, 1338
Malmesbury			B53 	Books acquired by William Favel, late 13th cent.
Malmesbury			B54 	Leland, c. 1536-40
Monk Bretton		B55 	Inventory of books, 1558
Montacute			B56 	Leland, c. 1536-40
Norwich 			B57 	Extracts from the obedientiary rolls, 1273-1317
Norwich			B58 	Books owned by Simon Bozoun, 14th cent.
Norwich			B59 	Fragmentary list of books, 16th cent.
Norwich			B60 	Leland, c. 1536-40
Norwich			B61 	Bale, c. 1550
Norwich St Leonard's 	B62 	Inventory, 1423
Norwich St Leonard's	B63 	Inventory, 1453
Norwich-Yarmouth 		B64 	Inventory, ?c. 1425
Pershore 			B65 	Leland, c. 1536-40
Pontefract 			B66 	Leland, c. 1536-40
Ramsey 			B67 	Fragment of catalogue, mid-14th cent.
Ramsey			B68 	Catalogue roll, late 14th cent.
Ramsey			B69 	Books borrowed by John de Haliwell, ?13th cent.
Ramsey			B70 	Leland, c. 1536-40
Reading 			B71 	Catalogue, 1192
Reading			B72 	Books presented to King John, 1208
Reading			B73 	Letter concerning theft of a book, 1253
Reading			B74 	Books kept in Dormitory, 14th cent.
Reading-Leominster 	B75 	Catalogue, 1192
Reading-Leominster	B76 	Books copied by William of Wycumbe, 13th cent.
Rochester 			B77 	Catalogue, 1123
Rochester 			B78 	Fragments of catalogue, early 12th cent.
Rochester 			B79 	Catalogue, 1202
Rochester 			B80 	Books acquired by Alexander,
Rochester 			B81 	Books given, early 13th cent.
Rochester 			B82 	Books given to cathedral by Bishop Haimo Hethe, 1346
Rochester 			B83 	Indenture, 1391
Saffron Walden 		B84 	Leland, c. 1536-40
St Albans 			B85 	Bale's excerpts from Indiculus of Walter the Chanter (fl. 1180)
St Albans			B86 	Books returned from Hertford, 1396 x 1420
St Albans			B87 	Borrowers' list, 1420 x 1437
